+3.5384077978276416e+00 +5.0000000000000003e-02 
+3.5884077978276419e+00 +5.0000000000000003e-02 
+3.6384077978276421e+00 +5.0000000000000003e-02 
+3.6884077978276424e+00 +5.0000000000000003e-02 
+3.7384077978276427e+00 +5.0000000000000003e-02 
+3.7884077978276429e+00 +5.0000000000000003e-02 
+3.8384077978276432e+00 +5.0000000000000003e-02 
+3.8884077978276435e+00 +5.0000000000000003e-02 
+3.9384077978276437e+00 +5.0000000000000003e-02 
+3.9884077978276440e+00 +5.0000000000000003e-02 
+4.0384077978276443e+00 +5.0000000000000003e-02 
+4.0884077978276441e+00 +5.0000000000000003e-02 
+4.1384077978276439e+00 +5.0000000000000003e-02 
+4.1884077978276437e+00 +5.0000000000000003e-02 
+4.2384077978276435e+00 +5.0000000000000003e-02 
+4.2884077978276434e+00 +5.0000000000000003e-02 
+4.3384077978276432e+00 +5.0000000000000003e-02 
+4.3884077978276430e+00 +5.0000000000000003e-02 
+4.4384077978276428e+00 +5.0000000000000003e-02 
+4.4884077978276427e+00 +5.0000000000000003e-02 
+4.5384077978276425e+00 +5.0000000000000003e-02 
+4.5884077978276423e+00 +5.0000000000000003e-02 
+4.6384077978276421e+00 +5.0000000000000003e-02 
+4.6884077978276419e+00 +5.0000000000000003e-02 
+4.7384077978276418e+00 +5.0000000000000003e-02 
+4.7884077978276416e+00 +5.0000000000000003e-02 
+4.8384077978276414e+00 +5.0000000000000003e-02 
+4.8884077978276412e+00 +5.0000000000000003e-02 
+4.9384077978276411e+00 +5.0000000000000003e-02 
+4.9884077978276409e+00 +5.0000000000000003e-02 
+5.0384077978276407e+00 +5.0000000000000003e-02 
+5.0884077978276405e+00 +5.0000000000000003e-02 
+5.1384077978276403e+00 +5.0000000000000003e-02 
+5.1884077978276402e+00 +5.0000000000000003e-02 
+5.2384077978276400e+00 +5.0000000000000003e-02 
+5.2884077978276398e+00 +5.0000000000000003e-02 
+5.3384077978276396e+00 +5.0000000000000003e-02 
+5.3884077978276395e+00 +5.0000000000000003e-02 
+5.4384077978276393e+00 +5.0000000000000003e-02 
+5.4884077978276391e+00 +5.0000000000000003e-02 
+5.5384077978276389e+00 +5.0000000000000003e-02 
+5.5884077978276387e+00 +5.0000000000000003e-02 
+5.6384077978276386e+00 +5.0000000000000003e-02 
+5.6884077978276384e+00 +5.0000000000000003e-02 
+5.7384077978276382e+00 +5.0000000000000003e-02 
+5.7884077978276380e+00 +5.0000000000000003e-02 
+5.8384077978276379e+00 +5.0000000000000003e-02 
+5.8884077978276377e+00 +5.0000000000000003e-02 
+5.9384077978276375e+00 +5.0000000000000003e-02 
+5.9884077978276373e+00 +5.0000000000000003e-02 
+6.0384077978276371e+00 +5.0000000000000003e-02 
+6.0884077978276370e+00 +5.0000000000000003e-02 
+6.1384077978276368e+00 +5.0000000000000003e-02 
+6.1884077978276366e+00 +5.0000000000000003e-02 
+6.2384077978276364e+00 +5.0000000000000003e-02 
+6.2884077978276363e+00 +5.0000000000000003e-02 
+6.3384077978276361e+00 +5.0000000000000003e-02 
+6.3884077978276359e+00 +5.0000000000000003e-02 
+6.4384077978276357e+00 +5.0000000000000003e-02 
+6.4884077978276355e+00 +5.0000000000000003e-02 
+6.5384077978276354e+00 +5.0000000000000003e-02 
+6.5884077978276352e+00 +5.0000000000000003e-02 
+6.6384077978276350e+00 +5.0000000000000003e-02 
+6.6884077978276348e+00 +5.0000000000000003e-02 
+6.7384077978276347e+00 +5.0000000000000003e-02 
+6.7884077978276345e+00 +5.0000000000000003e-02 
+6.8384077978276343e+00 +5.0000000000000003e-02 
+6.8884077978276341e+00 +5.0000000000000003e-02 
+6.9384077978276339e+00 +5.0000000000000003e-02 
+6.9884077978276338e+00 +5.0000000000000003e-02 
+7.0384077978276336e+00 +5.0000000000000003e-02 
+7.0884077978276334e+00 +5.0000000000000003e-02 
+7.1384077978276332e+00 +5.0000000000000003e-02 
+7.1884077978276331e+00 +5.0000000000000003e-02 
+7.2384077978276329e+00 +5.0000000000000003e-02 
+7.2884077978276327e+00 +5.0000000000000003e-02 
+7.3384077978276325e+00 +5.0000000000000003e-02 
+7.3884077978276324e+00 +5.0000000000000003e-02 
+7.4384077978276322e+00 +5.0000000000000003e-02 
+7.4884077978276320e+00 +5.0000000000000003e-02 
+7.5384077978276318e+00 +5.0000000000000003e-02 
+7.5884077978276316e+00 +5.0000000000000003e-02 
+7.6384077978276315e+00 +5.0000000000000003e-02 
+7.6884077978276313e+00 +5.0000000000000003e-02 
+7.7384077978276311e+00 +5.0000000000000003e-02 
+7.7884077978276309e+00 +5.0000000000000003e-02 
+7.8384077978276308e+00 +5.0000000000000003e-02 
+7.8884077978276306e+00 +5.0000000000000003e-02 
+7.9384077978276304e+00 +5.0000000000000003e-02 
+7.9884077978276302e+00 +5.0000000000000003e-02 
+8.0384077978276309e+00 +5.0000000000000003e-02 
+8.0884077978276316e+00 +5.0000000000000003e-02 
+8.1384077978276324e+00 +5.0000000000000003e-02 
+8.1884077978276331e+00 +5.0000000000000003e-02 
+8.2384077978276338e+00 +5.0000000000000003e-02 
